Open,High,Low,Close,Adj Close,Volume
160,162.399994,156,159.199997,131.565262,28360
161,163.899994,158,161.75,133.672607,26392
162,163.949997,160,162.5,134.292435,18184
158,162.75,158,162.149994,134.00322,6445
160.100006,166.899994,159.5,160.100006,132.309067,40527
161.449997,171,161,166.100006,137.267563,20257
172,176.5,171,174.350006,144.085434,29472
171.100006,178,171,176.100006,145.531662,36126
176,188,176,182.399994,150.738098,54678
184.5,189,180.149994,185.75,153.506577,283265
190,190.949997,184.75,186,153.713196,193275
181,195,181,185,152.88678,229347
187.800003,190,184.5,189.199997,156.357712,93520
194,194,185,186.899994,154.456955,46985
186.25,189.649994,182,183.600006,151.729782,16127
185,186.449997,183,184.550003,152.514908,9630
181.75,184,178,179.649994,148.465439,20792
179.850006,184.25,178.050003,181.699997,150.159576,26502
187,188.800003,182,185.949997,153.671844,95459
183,184.75,179.5,184.25,152.266968,29165
184.5,186,180.149994,184.449997,152.432236,18115
185,185,182,184,152.060349,7529
183,183.5,180,181.600006,150.076981,25186
181.5,184,181.100006,182.550003,150.862076,30370
182.5,191.5,182.199997,191.100006,157.927917,112025
192.5,206,186,196.600006,162.473175,56883
196.600006,199.5,189.199997,190.649994,157.55603,14291
192.5,196.199997,190.050003,195.199997,161.316193,30094
192.100006,216,192.100006,200.850006,165.985458,92079
205.850006,208.899994,198,200,165.28302,30164
198.600006,201,190.600006,194.399994,160.65509,28309
191.100006,233.300003,190,226.75,187.389572,170346
230,238,212.300003,220.600006,182.307144,178953
224,230,218.050003,219.899994,181.728638,203522
211.100006,220.25,211.100006,219.600006,181.480713,170693
221,230,217.050003,220.300003,182.059204,125555
220,226,216.100006,220.899994,182.555084,46734
186.649994,222.399994,186.649994,220.199997,181.976563,24325
218.25,223,212,213.050003,176.067719,37142
210.100006,222.949997,209.949997,219.149994,181.10881,34139
210,220.5,210,219.800003,181.646057,170440
222,222,217,219.800003,181.646057,74532
222.949997,231.949997,219,225.949997,186.728439,152565
233,253,228,235.600006,194.703415,241677
242.899994,249.949997,237,246.850006,204.000534,73425
255,295,255,264.350006,218.462784,129813
264.350006,273.5,230,264.700012,218.752075,150229
269.899994,269.899994,245,267.700012,221.231354,32378
250.550003,277.75,250.550003,267.399994,220.983353,43391
250.5,274.950012,250.5,270.799988,223.793167,70955
263.950012,275,263.950012,269.75,222.925415,70163
265,275,265,271.350006,224.247696,47511
275,280,265,272.950012,225.570007,15065
262.149994,275,262.149994,273,225.611359,19573
265,295.5,260,284.75,235.321625,95963
278,290,270.149994,278.399994,230.073959,237678
280,293.899994,279,285.549988,235.982742,99981
266.600006,304,266.600006,299.5,247.511276,85892
291.950012,308.5,291.950012,304.850006,251.932678,45768
307,312,302.100006,306.700012,253.461487,29119
296,307.450012,296,301.700012,249.329376,29717
290.100006,305,290.100006,302.649994,250.114471,85805
300,303,293.5,300,247.9245,138285
290.100006,303.899994,290.100006,303.5,250.816956,50058
305,305.950012,297.100006,301.049988,248.792175,12547
305,308,297,300.25,248.131088,53698
308,311.450012,301,306.950012,253.668076,25481
314,317.950012,304,312.649994,258.378693,34132
310.100006,325.899994,310.100006,321.100006,265.361877,17746
326,336,325,329.950012,272.675629,25571
339,339,320,325,268.584869,522971
332,335,300.049988,328.399994,271.394684,100135
330.100006,339,328.149994,329.700012,272.469025,9140
338.350006,338.350006,330,332.5,274.782959,13007
337,340,330,331.700012,274.121796,22576
339.399994,339.399994,328,330.799988,273.378052,51915
